범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
특별경제범죄,특별경제범죄,"65,025","17,109","8,134","2,756","3,741","1,616","1,465","1,159",357,"1,010",40,756,317,244,314,398,555,104,"1,054","1,459","1,402",549,"1,039",209,746,173,118,236,614,106,562,186,486,674,228,133,605,156,73,50,108,255,301,24,74,682,160,15,71,64,129,80,116,279,724,215,45,51,214,420,62,87,25,238,221,209,231,183,386,90,34,26,154,75,63,478,349,585,82,72,272,455,997,140,643,713,902,"2,293"
마약범죄,마약범죄,"7,329","1,449",963,334,641,75,117,78,8,92,2,26,19,30,9,44,63,9,80,66,95,55,110,29,35,15,11,8,90,5,117,16,38,111,18,7,55,9,3,9,4,69,62,2,35,151,52,2,7,14,28,20,31,37,59,10,5,2,9,44,1,9,2,19,25,39,26,23,39,20,31,43,16,29,18,16,42,152,40,25,33,128,164,27,5,34,19,720
보건범죄,보건범죄,"14,662","3,875","2,365",289,957,249,213,226,22,214,5,104,64,56,81,56,359,21,132,204,324,72,147,41,113,94,21,65,140,18,108,58,64,130,29,54,197,54,30,14,74,65,51,2,55,121,56,-,12,23,24,48,14,45,83,87,14,31,68,155,32,31,5,37,41,53,23,48,78,37,4,11,29,9,13,92,53,131,39,36,93,102,261,20,26,88,26,951
환경범죄,환경범죄,"4,349",58,223,11,85,8,14,47,4,41,8,10,66,4,2,3,63,5,19,13,20,79,106,9,8,68,3,22,86,1,7,25,65,78,160,15,213,21,18,19,12,21,11,1,7,8,5,1,1,11,5,8,31,2,36,17,2,-,41,5,6,8,5,24,3,"1,291",1,43,29,5,-,29,14,1,37,53,31,78,24,15,8,46,69,23,15,13,23,523
교통범죄,교통범죄,"600,401","74,270","32,944","31,682","30,972","22,137","14,524","14,105","1,234","12,280",934,"3,141","4,171","2,225","2,801","4,124","5,542","1,158","10,437","12,472","17,841","10,640","13,356","2,778","5,789","2,771","2,064","2,738","8,695","1,765","3,726","3,023","6,456","9,630","2,872","2,771","8,262","2,387","1,530","1,330","1,568","6,378","5,004",616,"1,773","10,373","4,168",171,"1,216","1,326","2,019","1,456","1,617","2,455","8,371","2,834","1,018",695,"3,088","5,580","1,095","2,450",253,"4,356","5,024","4,975","2,344","3,794","8,552","1,916",920,"1,112","1,609","1,227","1,154","7,488","4,820","7,346","1,243","1,908","3,760","3,749","12,594","2,430","4,060","11,642","1,287","43,990"
노동범죄,노동범죄,"2,457",509,209,96,80,29,96,75,6,47,-,12,12,12,4,5,35,-,54,25,59,14,13,3,359,4,-,1,24,1,57,5,11,12,12,1,13,5,-,-,1,5,8,5,2,19,5,7,1,-,6,2,2,11,19,8,1,2,4,20,3,3,-,27,7,6,11,3,21,2,1,3,3,10,-,19,21,33,1,3,11,12,78,70,3,8,3,67
안보범죄,안보범죄,81,19,6,2,4,8,1,2,1,2,-,-,-,-,1,-,1,-,2,2,5,-,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4,-,-,2,2,3
선거범죄,선거범죄,"1,018",180,60,28,64,7,17,33,7,10,1,9,2,3,2,3,13,1,12,11,17,10,23,5,5,7,2,8,11,3,4,6,10,7,5,-,3,2,4,2,4,2,5,2,8,6,1,-,5,1,1,1,4,-,12,8,4,3,19,22,5,5,3,4,3,24,-,1,10,1,-,10,11,-,3,6,4,14,1,3,8,18,23,4,5,12,6,129
병역범죄,병역범죄,"16,651","4,120",662,615,"1,281",330,555,222,131,347,2,63,110,75,63,64,236,41,311,314,415,183,268,73,135,117,15,119,203,38,160,59,142,141,82,62,189,41,26,6,9,72,61,6,25,315,50,12,27,66,74,32,38,88,604,89,21,15,65,161,18,17,2,98,65,59,96,50,199,20,10,16,25,15,20,137,104,173,37,15,164,80,292,41,84,145,62,761
기타범죄,기타범죄,"260,539","44,407","22,296","10,712","14,952","4,809","5,268","4,784",495,"4,025",358,"1,476","2,175","1,123","1,101","1,863","3,232",454,"6,287","6,863","8,542","4,021","6,007","1,158","2,876",968,874,"1,837","4,291",616,"2,064","1,364","1,705","5,288",883,"1,217","4,984","1,252",523,593,626,"1,378","1,188",154,434,"3,713",672,54,392,439,"2,602",634,635,946,"2,523","2,014",323,298,"1,539","2,871",369,390,103,"1,758",823,"1,143",876,913,"1,414",413,211,233,551,285,282,"1,828","1,223","2,036",392,534,"1,476","1,349","4,535","2,308","1,265","3,480","1,187","17,984"
