구,CCTV수,최근증가율,세대수,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.61919504643964,228883,549255,544257,4998,66412,0.909959854712292,12.091287289146207,0.589525812236575,1564.1736310863223
양천구,2482,34.67173087357569,176598,469945,466121,3824,57442,0.813712242922044,12.223132494228048,0.5281469108087117,893.9718887311874
강서구,911,134.7938144329897,257558,605068,598416,6652,78814,1.0993805654901596,13.025643398758488,0.15056158977172815,823.2053646762906
용산구,2096,53.216374269005854,108777,245087,229391,15696,37443,6.404256447710405,15.277432095541583,0.8552065185015932,751.2252567492058
서초구,2297,63.37126600284495,173912,441539,437407,4132,54887,0.9358176740899445,12.43083849897744,0.520225846414473,739.7017501189068
송파구,1081,104.34782608695652,269558,673582,666892,6690,80220,0.9931975616925631,11.909463138860598,0.16048528612700458,727.3244142826491
도봉구,825,246.6386554621849,137901,342990,340876,2114,55499,0.6163444998396455,16.18093821977317,0.2405317939298522,625.6870723165516
중랑구,916,79.96070726915521,180044,409058,404313,4745,61271,1.1599822030127758,14.978560497533358,0.22392912496516387,606.1600175451599
광진구,878,53.22862129144852,161714,369999,355032,14967,45202,4.045146067962346,12.2167897751075,0.2372979386430774,601.9056467804294
강북구,831,125.20325203252031,143172,324276,320576,3700,57741,1.1410033428314152,17.80612811308885,0.2562631832142989,599.4421020282398
강동구,1010,166.49076517150397,177591,434992,430705,4287,58280,0.9855353661676537,13.397947548460662,0.23218817817339168,540.2156475257668
마포구,980,212.1019108280255,171320,385032,374106,10926,50559,2.8376862182883498,13.131116374742879,0.2545242992790209,516.1684787962567
은평구,2108,85.23725834797891,203951,487849,483417,4432,76643,0.9084778281804411,15.710393994863164,0.4321009164721051,500.60318358841005
관악구,2109,149.29078014184398,261401,521685,503956,17729,71840,3.398410918466124,13.77076204989601,0.4042669426953046,464.99910029914463
동대문구,1870,74.76635514018692,162232,366101,350556,15545,57096,4.246096022682265,15.595696269608661,0.5107880065883459,394.3112440063526
종로구,1619,248.92241379310346,73696,163086,153396,9690,26622,5.941650417571098,16.323902726169017,0.9927277632660069,362.93466193312406
구로구,1884,64.97373029772329,172121,439234,406144,33090,61293,7.53356980561614,13.954520824890604,0.4289285437830405,329.19531945280437
영등포구,1277,157.97979797979798,170208,403724,368577,35147,55364,8.705699933618016,13.71332890786775,0.31630519860102446,239.38964929049212
동작구,1302,139.33823529411765,175873,407925,395513,12412,58803,3.0427161855733282,14.415149843721272,0.31917631917631917,218.93432815023334
중구,1023,147.6997578692494,61232,135258,125815,9443,21902,6.981472445252776,16.19275754484023,0.7563323426340771,202.96076217806876
서대문구,1254,48.5781990521327,138027,322497,310584,11913,50278,3.6939878510497772,15.590222544705842,0.38884082642629236,174.51756413452904
노원구,1566,188.929889298893,217900,551069,546911,4158,76466,0.7545334613269844,13.875939310685231,0.28417493998029286,109.78877011614622
성동구,1327,81.78082191780823,136831,317197,309251,7946,42581,2.505067828510358,13.424149660936264,0.4183520020681154,95.78397737979708
성북구,1651,63.62735381565907,186744,449574,438031,11543,67447,2.5675417172701267,15.00242451743206,0.3672365394795962,85.00941623696895
금천구,1348,100.0,106774,252359,232760,19599,35299,7.766317032481504,13.987612884818848,0.5341596693599198,4.64165700181502
